titulo,artista,duracao,album,genero
Silent Wave 332,Daniel Cruz,2.45,After Rain,Electronic
Broken Wave 333,Nova Echo,3.07,Lunar Tide,Alternative
Midnight Wave 334,Noah Carter,3.68,Quiet Storm,Lo-Fi
Electric Wave 335,Mila Harper,4.3,Velvet Noise,Indie
Wild Wave 336,Sofia Lane,4.92,Blue Horizon,Folk
Hidden Wave 337,Indie Harbor,5.53,Summer Glass,Jazz
Bright Wave 338,The Daybreaks,6.15,Paper Trails,Rock
Velvet Wave 339,Atlas Bloom,2.43,Crystal Frames,R&B
Crystal Wave 340,Olivia Fox,3.05,City Echoes,Hip-Hop
Falling Wave 341,Ariana Vale,3.67,First Light,Pop
Burning Wave 342,Ruby Moon,4.28,Golden Hour,Electronic
Distant Wave 343,Mason Reed,4.9,Neon Days,Alternative
Open Wave 344,The North Lights,5.52,Wild Heart,Lo-Fi
Shadow Wave 345,The Quiet Sons,6.13,Open Roads,Indie
Rapid Wave 346,Clara West,2.42,Winter Notes,Folk
Endless Wave 347,Maya Stone,3.03,Midnight Radio,Jazz
Blue Wave 348,Ethan Ray,3.65,Hidden Places,Rock
Paper Wave 349,Violet Storm,4.27,Signal Lost,R&B
Northern Wave 350,Liam Archer,4.88,Endless Route,Hip-Hop
Neon Wave 351,Luna Vale,5.5,Northbound,Pop
Lunar Wave 352,Daniel Cruz,6.12,After Rain,Electronic
Autumn Wave 353,Nova Echo,2.4,Lunar Tide,Alternative
Winter Wave 354,Noah Carter,3.02,Quiet Storm,Lo-Fi
Summer Wave 355,Mila Harper,3.63,Velvet Noise,Indie
Empty Wave 356,Sofia Lane,4.25,Blue Horizon,Folk
Gentle Wave 357,Indie Harbor,4.87,Summer Glass,Jazz
Rising Wave 358,The Daybreaks,5.48,Paper Trails,Rock
Shining Wave 359,Atlas Bloom,6.1,Crystal Frames,R&B
Urban Wave 360,Olivia Fox,2.38,City Echoes,Hip-Hop
Golden Stone 361,Ariana Vale,3.0,First Light,Pop
Silent Stone 362,Ruby Moon,3.62,Golden Hour,Electronic
Broken Stone 363,Mason Reed,4.23,Neon Days,Alternative
Midnight Stone 364,The North Lights,4.85,Wild Heart,Lo-Fi
Electric Stone 365,The Quiet Sons,5.47,Open Roads,Indie
Wild Stone 366,Clara West,6.08,Winter Notes,Folk
Hidden Stone 367,Maya Stone,2.37,Midnight Radio,Jazz
Bright Stone 368,Ethan Ray,2.98,Hidden Places,Rock
Velvet Stone 369,Violet Storm,3.6,Signal Lost,R&B
Crystal Stone 370,Liam Archer,4.22,Endless Route,Hip-Hop
Falling Stone 371,Luna Vale,4.83,Northbound,Pop
Burning Stone 372,Daniel Cruz,5.45,After Rain,Electronic
Distant Stone 373,Nova Echo,6.07,Lunar Tide,Alternative
Open Stone 374,Noah Carter,2.35,Quiet Storm,Lo-Fi
Shadow Stone 375,Mila Harper,2.97,Velvet Noise,Indie
Rapid Stone 376,Sofia Lane,3.58,Blue Horizon,Folk
Endless Stone 377,Indie Harbor,4.2,Summer Glass,Jazz
Blue Stone 378,The Daybreaks,4.82,Paper Trails,Rock
Paper Stone 379,Atlas Bloom,5.43,Crystal Frames,R&B
Northern Stone 380,Olivia Fox,6.05,City Echoes,Hip-Hop
Neon Stone 381,Ariana Vale,2.33,First Light,Pop
Lunar Stone 382,Ruby Moon,2.95,Golden Hour,Electronic
Autumn Stone 383,Mason Reed,3.57,Neon Days,Alternative
Winter Stone 384,The North Lights,4.18,Wild Heart,Lo-Fi
Summer Stone 385,The Quiet Sons,4.8,Open Roads,Indie
Empty Stone 386,Clara West,5.42,Winter Notes,Folk
Gentle Stone 387,Maya Stone,6.03,Midnight Radio,Jazz
Rising Stone 388,Ethan Ray,2.32,Hidden Places,Rock
Shining Stone 389,Violet Storm,2.93,Signal Lost,R&B
Urban Stone 390,Liam Archer,3.55,Endless Route,Hip-Hop
Golden Memory 391,Luna Vale,4.17,Northbound,Pop
Silent Memory 392,Daniel Cruz,4.78,After Rain,Electronic
Broken Memory 393,Nova Echo,5.4,Lunar Tide,Alternative
Midnight Memory 394,Noah Carter,6.02,Quiet Storm,Lo-Fi
Electric Memory 395,Mila Harper,2.3,Velvet Noise,Indie
Wild Memory 396,Sofia Lane,2.92,Blue Horizon,Folk
Hidden Memory 397,Indie Harbor,3.53,Summer Glass,Jazz
Bright Memory 398,The Daybreaks,4.15,Paper Trails,Rock
Velvet Memory 399,Atlas Bloom,4.77,Crystal Frames,R&B
Crystal Memory 400,Olivia Fox,5.38,City Echoes,Hip-Hop
Falling Memory 401,Ariana Vale,6.0,First Light,Pop
Burning Memory 402,Ruby Moon,2.28,Golden Hour,Electronic
Distant Memory 403,Mason Reed,2.9,Neon Days,Alternative
Open Memory 404,The North Lights,3.52,Wild Heart,Lo-Fi
Shadow Memory 405,The Quiet Sons,4.13,Open Roads,Indie
Rapid Memory 406,Clara West,4.75,Winter Notes,Folk
Endless Memory 407,Maya Stone,5.37,Midnight Radio,Jazz
Blue Memory 408,Ethan Ray,5.98,Hidden Places,Rock
Paper Memory 409,Violet Storm,2.27,Signal Lost,R&B
Northern Memory 410,Liam Archer,2.88,Endless Route,Hip-Hop
Neon Memory 411,Luna Vale,3.5,Northbound,Pop
Lunar Memory 412,Daniel Cruz,4.12,After Rain,Electronic
Autumn Memory 413,Nova Echo,4.73,Lunar Tide,Alternative
Winter Memory 414,Noah Carter,5.35,Quiet Storm,Lo-Fi
Summer Memory 415,Mila Harper,5.97,Velvet Noise,Indie
Empty Memory 416,Sofia Lane,2.25,Blue Horizon,Folk
Gentle Memory 417,Indie Harbor,2.87,Summer Glass,Jazz
Rising Memory 418,The Daybreaks,3.48,Paper Trails,Rock
Shining Memory 419,Atlas Bloom,4.1,Crystal Frames,R&B
Urban Memory 420,Olivia Fox,4.72,City Echoes,Hip-Hop
Golden Line 421,Ariana Vale,5.33,First Light,Pop
Silent Line 422,Ruby Moon,5.95,Golden Hour,Electronic
Broken Line 423,Mason Reed,2.23,Neon Days,Alternative
Midnight Line 424,The North Lights,2.85,Wild Heart,Lo-Fi
Electric Line 425,The Quiet Sons,3.47,Open Roads,Indie
Wild Line 426,Clara West,4.08,Winter Notes,Folk
Hidden Line 427,Maya Stone,4.7,Midnight Radio,Jazz
Bright Line 428,Ethan Ray,5.32,Hidden Places,Rock
Velvet Line 429,Violet Storm,5.93,Signal Lost,R&B
Crystal Line 430,Liam Archer,2.22,Endless Route,Hip-Hop
Falling Line 431,Luna Vale,2.83,Northbound,Pop
Burning Line 432,Daniel Cruz,3.45,After Rain,Electronic
Distant Line 433,Nova Echo,4.07,Lunar Tide,Alternative
Open Line 434,Noah Carter,4.68,Quiet Storm,Lo-Fi
Shadow Line 435,Mila Harper,5.3,Velvet Noise,Indie
Rapid Line 436,Sofia Lane,5.92,Blue Horizon,Folk
Endless Line 437,Indie Harbor,2.2,Summer Glass,Jazz
Blue Line 438,The Daybreaks,2.82,Paper Trails,Rock
Paper Line 439,Atlas Bloom,3.43,Crystal Frames,R&B
Northern Line 440,Olivia Fox,4.05,City Echoes,Hip-Hop
Neon Line 441,Ariana Vale,4.67,First Light,Pop
Lunar Line 442,Ruby Moon,5.28,Golden Hour,Electronic
Autumn Line 443,Mason Reed,5.9,Neon Days,Alternative
Winter Line 444,The North Lights,2.18,Wild Heart,Lo-Fi
Summer Line 445,The Quiet Sons,2.8,Open Roads,Indie
Empty Line 446,Clara West,3.42,Winter Notes,Folk
Gentle Line 447,Maya Stone,4.03,Midnight Radio,Jazz
Rising Line 448,Ethan Ray,4.65,Hidden Places,Rock
Shining Line 449,Violet Storm,5.27,Signal Lost,R&B
Urban Line 450,Liam Archer,5.88,Endless Route,Hip-Hop
Golden Ocean 451,Luna Vale,2.17,Northbound,Pop
Silent Ocean 452,Daniel Cruz,2.78,After Rain,Electronic
Broken Ocean 453,Nova Echo,3.4,Lunar Tide,Alternative
Midnight Ocean 454,Noah Carter,4.02,Quiet Storm,Lo-Fi
Electric Ocean 455,Mila Harper,4.63,Velvet Noise,Indie
Wild Ocean 456,Sofia Lane,5.25,Blue Horizon,Folk
Hidden Ocean 457,Indie Harbor,5.87,Summer Glass,Jazz
Bright Ocean 458,The Daybreaks,2.15,Paper Trails,Rock
Velvet Ocean 459,Atlas Bloom,2.77,Crystal Frames,R&B
Crystal Ocean 460,Olivia Fox,3.38,City Echoes,Hip-Hop
Falling Ocean 461,Ariana Vale,4.0,First Light,Pop
Burning Ocean 462,Ruby Moon,4.62,Golden Hour,Electronic
Distant Ocean 463,Mason Reed,5.23,Neon Days,Alternative
Open Ocean 464,The North Lights,5.85,Wild Heart,Lo-Fi
Shadow Ocean 465,The Quiet Sons,2.13,Open Roads,Indie
Rapid Ocean 466,Clara West,2.75,Winter Notes,Folk
Endless Ocean 467,Maya Stone,3.37,Midnight Radio,Jazz
Blue Ocean 468,Ethan Ray,3.98,Hidden Places,Rock
Paper Ocean 469,Violet Storm,4.6,Signal Lost,R&B
Northern Ocean 470,Liam Archer,5.22,Endless Route,Hip-Hop
Neon Ocean 471,Luna Vale,5.83,Northbound,Pop
Lunar Ocean 472,Daniel Cruz,2.12,After Rain,Electronic
Autumn Ocean 473,Nova Echo,2.73,Lunar Tide,Alternative
Winter Ocean 474,Noah Carter,3.35,Quiet Storm,Lo-Fi
Summer Ocean 475,Mila Harper,3.97,Velvet Noise,Indie
Empty Ocean 476,Sofia Lane,4.58,Blue Horizon,Folk
Gentle Ocean 477,Indie Harbor,5.2,Summer Glass,Jazz
Rising Ocean 478,The Daybreaks,5.82,Paper Trails,Rock
Shining Ocean 479,Atlas Bloom,2.1,Crystal Frames,R&B
Urban Ocean 480,Olivia Fox,2.72,City Echoes,Hip-Hop
Golden Paper 481,Ariana Vale,3.33,First Light,Pop
Silent Paper 482,Ruby Moon,3.95,Golden Hour,Electronic
Broken Paper 483,Mason Reed,4.57,Neon Days,Alternative
Midnight Paper 484,The North Lights,5.18,Wild Heart,Lo-Fi
Electric Paper 485,The Quiet Sons,5.8,Open Roads,Indie
Wild Paper 486,Clara West,2.08,Winter Notes,Folk
Hidden Paper 487,Maya Stone,2.7,Midnight Radio,Jazz
Bright Paper 488,Ethan Ray,3.32,Hidden Places,Rock
Velvet Paper 489,Violet Storm,3.93,Signal Lost,R&B
Crystal Paper 490,Liam Archer,4.55,Endless Route,Hip-Hop
Falling Paper 491,Luna Vale,5.17,Northbound,Pop
Burning Paper 492,Daniel Cruz,5.78,After Rain,Electronic
Distant Paper 493,Nova Echo,2.07,Lunar Tide,Alternative
Open Paper 494,Noah Carter,2.68,Quiet Storm,Lo-Fi
Shadow Paper 495,Mila Harper,3.3,Velvet Noise,Indie
Rapid Paper 496,Sofia Lane,3.92,Blue Horizon,Folk
Endless Paper 497,Indie Harbor,4.53,Summer Glass,Jazz
Blue Paper 498,The Daybreaks,5.15,Paper Trails,Rock
Paper Paper 499,Atlas Bloom,5.77,Crystal Frames,R&B
Northern Paper 500,Olivia Fox,2.05,City Echoes,Hip-Hop
Neon Paper 501,Ariana Vale,2.67,First Light,Pop
Lunar Paper 502,Ruby Moon,3.28,Golden Hour,Electronic
Autumn Paper 503,Mason Reed,3.9,Neon Days,Alternative
Winter Paper 504,The North Lights,4.52,Wild Heart,Lo-Fi
Summer Paper 505,The Quiet Sons,5.13,Open Roads,Indie
Empty Paper 506,Clara West,5.75,Winter Notes,Folk
Gentle Paper 507,Maya Stone,2.03,Midnight Radio,Jazz
Rising Paper 508,Ethan Ray,2.65,Hidden Places,Rock
Shining Paper 509,Violet Storm,3.27,Signal Lost,R&B
Urban Paper 510,Liam Archer,3.88,Endless Route,Hip-Hop
Golden Signal 511,Luna Vale,4.5,Northbound,Pop
Silent Signal 512,Daniel Cruz,5.12,After Rain,Electronic
Broken Signal 513,Nova Echo,5.73,Lunar Tide,Alternative
Midnight Signal 514,Noah Carter,2.02,Quiet Storm,Lo-Fi
Electric Signal 515,Mila Harper,2.63,Velvet Noise,Indie
Wild Signal 516,Sofia Lane,3.25,Blue Horizon,Folk
Hidden Signal 517,Indie Harbor,3.87,Summer Glass,Jazz
Bright Signal 518,The Daybreaks,4.48,Paper Trails,Rock
Velvet Signal 519,Atlas Bloom,5.1,Crystal Frames,R&B
Crystal Signal 520,Olivia Fox,5.72,City Echoes,Hip-Hop
Falling Signal 521,Ariana Vale,2.0,First Light,Pop
Burning Signal 522,Ruby Moon,2.62,Golden Hour,Electronic
Distant Signal 523,Mason Reed,3.23,Neon Days,Alternative
Open Signal 524,The North Lights,3.85,Wild Heart,Lo-Fi
Shadow Signal 525,The Quiet Sons,4.47,Open Roads,Indie
Rapid Signal 526,Clara West,5.08,Winter Notes,Folk
Endless Signal 527,Maya Stone,5.7,Midnight Radio,Jazz
Blue Signal 528,Ethan Ray,6.32,Hidden Places,Rock
Paper Signal 529,Violet Storm,2.6,Signal Lost,R&B
Northern Signal 530,Liam Archer,3.22,Endless Route,Hip-Hop
Neon Signal 531,Luna Vale,3.83,Northbound,Pop
Lunar Signal 532,Daniel Cruz,4.45,After Rain,Electronic
Autumn Signal 533,Nova Echo,5.07,Lunar Tide,Alternative
Winter Signal 534,Noah Carter,5.68,Quiet Storm,Lo-Fi
Summer Signal 535,Mila Harper,6.3,Velvet Noise,Indie
Empty Signal 536,Sofia Lane,2.58,Blue Horizon,Folk
Gentle Signal 537,Indie Harbor,3.2,Summer Glass,Jazz
Rising Signal 538,The Daybreaks,3.82,Paper Trails,Rock
Shining Signal 539,Atlas Bloom,4.43,Crystal Frames,R&B
Urban Signal 540,Olivia Fox,5.05,City Echoes,Hip-Hop
Golden Garden 541,Ariana Vale,5.67,First Light,Pop
Silent Garden 542,Ruby Moon,6.28,Golden Hour,Electronic
Broken Garden 543,Mason Reed,2.57,Neon Days,Alternative
Midnight Garden 544,The North Lights,3.18,Wild Heart,Lo-Fi
Electric Garden 545,The Quiet Sons,3.8,Open Roads,Indie
Wild Garden 546,Clara West,4.42,Winter Notes,Folk
Hidden Garden 547,Maya Stone,5.03,Midnight Radio,Jazz
Bright Garden 548,Ethan Ray,5.65,Hidden Places,Rock
Velvet Garden 549,Violet Storm,6.27,Signal Lost,R&B
Crystal Garden 550,Liam Archer,2.55,Endless Route,Hip-Hop
Falling Garden 551,Luna Vale,3.17,Northbound,Pop
Burning Garden 552,Daniel Cruz,3.78,After Rain,Electronic
Distant Garden 553,Nova Echo,4.4,Lunar Tide,Alternative
Open Garden 554,Noah Carter,5.02,Quiet Storm,Lo-Fi
Shadow Garden 555,Mila Harper,5.63,Velvet Noise,Indie
Rapid Garden 556,Sofia Lane,6.25,Blue Horizon,Folk
Endless Garden 557,Indie Harbor,2.53,Summer Glass,Jazz
Blue Garden 558,The Daybreaks,3.15,Paper Trails,Rock
Paper Garden 559,Atlas Bloom,3.77,Crystal Frames,R&B
Northern Garden 560,Olivia Fox,4.38,City Echoes,Hip-Hop
Neon Garden 561,Ariana Vale,5.0,First Light,Pop
Lunar Garden 562,Ruby Moon,5.62,Golden Hour,Electronic
Autumn Garden 563,Mason Reed,6.23,Neon Days,Alternative
Winter Garden 564,The North Lights,2.52,Wild Heart,Lo-Fi
Summer Garden 565,The Quiet Sons,3.13,Open Roads,Indie
Empty Garden 566,Clara West,3.75,Winter Notes,Folk
Gentle Garden 567,Maya Stone,4.37,Midnight Radio,Jazz
Rising Garden 568,Ethan Ray,4.98,Hidden Places,Rock
Shining Garden 569,Violet Storm,5.6,Signal Lost,R&B
Urban Garden 570,Liam Archer,6.22,Endless Route,Hip-Hop
Golden Pulse 571,Luna Vale,2.5,Northbound,Pop
Silent Pulse 572,Daniel Cruz,3.12,After Rain,Electronic
Broken Pulse 573,Nova Echo,3.73,Lunar Tide,Alternative
Midnight Pulse 574,Noah Carter,4.35,Quiet Storm,Lo-Fi
Electric Pulse 575,Mila Harper,4.97,Velvet Noise,Indie
Wild Pulse 576,Sofia Lane,5.58,Blue Horizon,Folk
Hidden Pulse 577,Indie Harbor,6.2,Summer Glass,Jazz
Bright Pulse 578,The Daybreaks,2.48,Paper Trails,Rock
Velvet Pulse 579,Atlas Bloom,3.1,Crystal Frames,R&B
Crystal Pulse 580,Olivia Fox,3.72,City Echoes,Hip-Hop
Falling Pulse 581,Ariana Vale,4.33,First Light,Pop
Burning Pulse 582,Ruby Moon,4.95,Golden Hour,Electronic
Distant Pulse 583,Mason Reed,5.57,Neon Days,Alternative
Open Pulse 584,The North Lights,6.18,Wild Heart,Lo-Fi
Shadow Pulse 585,The Quiet Sons,2.47,Open Roads,Indie
Rapid Pulse 586,Clara West,3.08,Winter Notes,Folk
Endless Pulse 587,Maya Stone,3.7,Midnight Radio,Jazz
Blue Pulse 588,Ethan Ray,4.32,Hidden Places,Rock
Paper Pulse 589,Violet Storm,4.93,Signal Lost,R&B
Northern Pulse 590,Liam Archer,5.55,Endless Route,Hip-Hop
Neon Pulse 591,Luna Vale,6.17,Northbound,Pop
Lunar Pulse 592,Daniel Cruz,2.45,After Rain,Electronic
Autumn Pulse 593,Nova Echo,3.07,Lunar Tide,Alternative
Winter Pulse 594,Noah Carter,3.68,Quiet Storm,Lo-Fi
Summer Pulse 595,Mila Harper,4.3,Velvet Noise,Indie
Empty Pulse 596,Sofia Lane,4.92,Blue Horizon,Folk
Gentle Pulse 597,Indie Harbor,5.53,Summer Glass,Jazz
Rising Pulse 598,The Daybreaks,6.15,Paper Trails,Rock
Shining Pulse 599,Atlas Bloom,2.43,Crystal Frames,R&B
Urban Pulse 600,Olivia Fox,3.05,City Echoes,Hip-Hop
Golden Winter 601,Ariana Vale,3.67,First Light,Pop
Silent Winter 602,Ruby Moon,4.28,Golden Hour,Electronic
Broken Winter 603,Mason Reed,4.9,Neon Days,Alternative
Midnight Winter 604,The North Lights,5.52,Wild Heart,Lo-Fi
Electric Winter 605,The Quiet Sons,6.13,Open Roads,Indie
Wild Winter 606,Clara West,2.42,Winter Notes,Folk
Hidden Winter 607,Maya Stone,3.03,Midnight Radio,Jazz
Bright Winter 608,Ethan Ray,3.65,Hidden Places,Rock
Velvet Winter 609,Violet Storm,4.27,Signal Lost,R&B
Crystal Winter 610,Liam Archer,4.88,Endless Route,Hip-Hop
Falling Winter 611,Luna Vale,5.5,Northbound,Pop
Burning Winter 612,Daniel Cruz,6.12,After Rain,Electronic
Distant Winter 613,Nova Echo,2.4,Lunar Tide,Alternative
Open Winter 614,Noah Carter,3.02,Quiet Storm,Lo-Fi
Shadow Winter 615,Mila Harper,3.63,Velvet Noise,Indie
Rapid Winter 616,Sofia Lane,4.25,Blue Horizon,Folk
Endless Winter 617,Indie Harbor,4.87,Summer Glass,Jazz
Blue Winter 618,The Daybreaks,5.48,Paper Trails,Rock
Paper Winter 619,Atlas Bloom,6.1,Crystal Frames,R&B
Northern Winter 620,Olivia Fox,2.38,City Echoes,Hip-Hop
Neon Winter 621,Ariana Vale,3.0,First Light,Pop
Lunar Winter 622,Ruby Moon,3.62,Golden Hour,Electronic
Autumn Winter 623,Mason Reed,4.23,Neon Days,Alternative
Winter Winter 624,The North Lights,4.85,Wild Heart,Lo-Fi
Summer Winter 625,The Quiet Sons,5.47,Open Roads,Indie
Empty Winter 626,Clara West,6.08,Winter Notes,Folk
Gentle Winter 627,Maya Stone,2.37,Midnight Radio,Jazz
Rising Winter 628,Ethan Ray,2.98,Hidden Places,Rock
Shining Winter 629,Violet Storm,3.6,Signal Lost,R&B
Urban Winter 630,Liam Archer,4.22,Endless Route,Hip-Hop
Golden City 631,Luna Vale,4.83,Northbound,Pop
Silent City 632,Daniel Cruz,5.45,After Rain,Electronic
Broken City 633,Nova Echo,6.07,Lunar Tide,Alternative
Midnight City 634,Noah Carter,2.35,Quiet Storm,Lo-Fi
Electric City 635,Mila Harper,2.97,Velvet Noise,Indie
Wild City 636,Sofia Lane,3.58,Blue Horizon,Folk
Hidden City 637,Indie Harbor,4.2,Summer Glass,Jazz
Bright City 638,The Daybreaks,4.82,Paper Trails,Rock
Velvet City 639,Atlas Bloom,5.43,Crystal Frames,R&B
Crystal City 640,Olivia Fox,6.05,City Echoes,Hip-Hop
Falling City 641,Ariana Vale,2.33,First Light,Pop
Burning City 642,Ruby Moon,2.95,Golden Hour,Electronic
Distant City 643,Mason Reed,3.57,Neon Days,Alternative
Open City 644,The North Lights,4.18,Wild Heart,Lo-Fi
Shadow City 645,The Quiet Sons,4.8,Open Roads,Indie
Rapid City 646,Clara West,5.42,Winter Notes,Folk
Endless City 647,Maya Stone,6.03,Midnight Radio,Jazz
Blue City 648,Ethan Ray,2.32,Hidden Places,Rock
Paper City 649,Violet Storm,2.93,Signal Lost,R&B
Northern City 650,Liam Archer,3.55,Endless Route,Hip-Hop
Neon City 651,Luna Vale,4.17,Northbound,Pop
Lunar City 652,Daniel Cruz,4.78,After Rain,Electronic
Autumn City 653,Nova Echo,5.4,Lunar Tide,Alternative
Winter City 654,Noah Carter,6.02,Quiet Storm,Lo-Fi
Summer City 655,Mila Harper,2.3,Velvet Noise,Indie
Empty City 656,Sofia Lane,2.92,Blue Horizon,Folk
Gentle City 657,Indie Harbor,3.53,Summer Glass,Jazz
Rising City 658,The Daybreaks,4.15,Paper Trails,Rock
Shining City 659,Atlas Bloom,4.77,Crystal Frames,R&B
Urban City 660,Olivia Fox,5.38,City Echoes,Hip-Hop
Golden Skyline 661,Ariana Vale,6.0,First Light,Pop
Silent Skyline 662,Ruby Moon,2.28,Golden Hour,Electronic
Broken Skyline 663,Mason Reed,2.9,Neon Days,Alternative
